Document_No,Day_No,Menu_1,Menu_2,Date/time
296,3,"चहा,उपमा,मटकीची उसळ,पोळी,भात,आलूची भाजी","चहा,उपमा,पोळी",2018-05-27 05:56:46.630933+00:00
297,1,"चहा,उपमा,कढी,पोळी,भात,पालक वरण,आलूची भाजी","चहा,पोळी",2018-05-27 05:58:00.105904+00:00
297,2,"चहा,दूध,पोहे,पोळी,भात,पत्ता कोबी,मेथीची भाजी,पालक वरण","चहा,पोळी",2018-05-27 05:58:36.660708+00:00
297,3,"चहा,दूध,उपमा,कढी,भात,पत्ता कोबी","चहा,उपमा,पोळी",2018-05-27 05:59:13.314878+00:00
298,1,"चहा,उपमा,पोळी,भात,मेथीची भाजी,पालक वरण,वांग्याची भाजी","चहा,उपमा,पोळी",2018-05-27 06:00:39.444303+00:00
298,2,"चहा,उपमा,पोळी,पत्ता कोबी,पालक वरण","चहा,उपमा,पोळी",2018-05-27 06:01:20.785924+00:00
298,3,"चहा,दूध,पोहे,पोळी,पत्ता कोबी,आलूची भाजी","चहा,पोहे,पोळी",2018-05-27 06:01:55.623179+00:00
299,1,"चहा,उपमा,पोळी,मेथीची भाजी,पालक वरण,आलूची भाजी","चहा,उपमा,पोळी",2018-05-27 06:03:46.036919+00:00
299,2,"चहा,दूध,साबुदाणा उसळ,पोळी,पालक वरण",चहा,2018-05-27 06:04:31.750702+00:00
299,3,"चहा,उपमा,पोळी,पत्ता कोबी,पालक वरण,आलूची भाजी","चहा,उपमा,पोळी",2018-05-27 06:05:15.306219+00:00
300,1,"चहा,उपमा,पोळी,भात,मेथीची भाजी,पालक वरण,आलूची भाजी","चहा,पोळी",2018-05-27 06:06:37.034191+00:00
300,2,"चहा,दूध,शिरा,पोळी,भात,पत्ता कोबी,पालक वरण,टमाटर चटणी","चहा,पोळी",2018-05-27 06:07:16.375065+00:00
300,3,"चहा,दूध,साबुदाणा उसळ,पोळी,भात,पालक वरण",चहा,2018-05-27 06:07:50.296410+00:00
301,1,"चहा,उपमा,पोळी,पत्ता कोबी,अंड्याची भाजी","चहा,उपमा,पोळी",2018-05-27 06:12:57.530496+00:00
301,2,"चहा,पोहे,कढी,पोळी,भात,पत्ता कोबी",चहा,2018-05-27 06:13:31.142300+00:00
301,3,"चहा,दूध,उपमा,पोळी,पालक वरण,आलूची भाजी","चहा,उपमा,पोळी,पालक वरण",2018-05-27 06:14:13.857934+00:00
302,1,"चहा,ब्रेड,उपमा,पोळी,पत्ता कोबी,पालक वरण","चहा,उपमा,पोळी,पालक वरण",2018-05-27 06:17:53.566144+00:00
302,2,"चहा,पोहे,पोळी,पत्ता कोबी,मेथीची भाजी,पालक वरण","चहा,पोहे,पोळी",2018-05-27 06:18:36.808207+00:00
302,3,"चहा,उपमा,कढी,पोळी,भात,वांग्याची भाजी","चहा,उपमा",2018-05-27 06:19:13.518216+00:00
303,1,"चहा,दूध,साबुदाणा उसळ,पोळी,पत्ता कोबी,पालक वरण",चहा,2018-05-27 06:20:30.255699+00:00
303,2,"चहा,उपमा,कढी,पोळी,पालक वरण,आलूची भाजी","चहा,उपमा,पोळी",2018-05-27 06:21:13.149508+00:00
303,3,"चहा,उपमा,पोळी,मेथीची भाजी,पालक वरण","चहा,पोळी,मेथीची भाजी",2018-05-27 06:22:16.598301+00:00
304,1,"चहा,उपमा,पोळी,पालक वरण,आलूची भाजी","चहा,पोळी",2018-05-27 06:23:44.612433+00:00
304,2,"चहा,शिरा,पोळी,भात,मेथीची भाजी,पालक वरण","चहा,पोळी,पालक वरण",2018-05-27 06:24:44.611841+00:00
304,3,"चहा,उपमा,पोळी,आलूची भाजी,वांग्याची भाजी","चहा,उपमा,पोळी",2018-05-27 06:25:45.557957+00:00
305,1,"चहा,उपमा,पोळी,पालक वरण,टमाटर चटणी","चहा,उपमा,पोळी",2018-05-27 06:27:33.783743+00:00
305,2,"चहा,शिरा,पोळी,मेथीची भाजी,वांग्याची भाजी","चहा,पोळी",2018-05-27 06:28:13.143182+00:00
305,3,"चहा,उपमा,पोळी,मेथीची भाजी,पालक वरण","चहा,उपमा,पोळी,पालक वरण",2018-05-27 06:28:46.942381+00:00
